"digit","M_connections","Time","Accuracy.FF","Accuracy.baseline","release.probability"
1,5,10,88.8,88.65,1
6,5,40,94.57,90.42,1
5,5,50,92.41,91.08,1
2,5,30,91.2166666666667,89.68,0.5
7,5,20,94.19,89.72,1
6,5,80,94.15,90.42,1
8,5,40,91.44,90.26,1
7,5,30,91.98,89.72,1
2,5,20,90.3,89.68,0.5
7,5,10,93.3,89.72,1
4,5,30,92.67,90.18,1
6,5,40,94.67,90.42,1
2,5,30,94.0966666666667,89.68,0.5
0,5,40,93.29,90.2,1
8,5,50,91.02,90.26,1
2,5,20,94.82,89.68,1
3,5,20,90.24,89.9,1
4,5,40,93.33,90.18,1
2,5,10,90.6866666666667,89.68,0.5
4,5,100,90.57,90.18,1
0,5,40,93.18,90.2,1
0,5,40,93.62,90.2,1
7,5,40,95.9,89.72,1
4,5,30,93.05,90.18,1
3,5,10,92.01,89.9,1
7,5,20,92.6766666666667,89.72,0.5
6,5,20,94.22,90.42,1
2,5,30,93.75,89.68,1
7,5,80,94.33,89.72,1
